,applicant_id,Primary_applicant_age_in_years,Years_at_current_residence,Months_loan_taken_for,Principal_loan_amount,Marital_status,Savings_account_balance,Purpose,Property,Loan_history,gen_house,high_risk_applicant
259,1513777,57,4,11,1154000,divorced/separated/married,Medium,electronic equipment,real estate,critical/pending loans at other banks,female & own,0
260,1352424,27,2,12,1657000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & own,0
261,1585697,55,4,24,1603000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
262,1552427,36,4,18,5302000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & for free,0
263,1194650,57,4,12,2748000,divorced/separated/married,Low,education,car or other,critical/pending loans at other banks,female & for free,0
264,1516910,32,4,10,1231000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,0
265,1847834,37,3,15,802000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
266,1647128,36,4,36,6304000,single,Low,business,real estate,critical/pending loans at other banks,male & own,0
267,1232944,38,3,24,1533000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
268,1310758,45,4,14,8978000,divorced/separated,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
269,1650945,25,2,24,999000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
270,1193039,32,3,18,2662000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
271,1753115,37,4,12,1402000,divorced/separated/married,High,FF&E,car or other,critical/pending loans at other banks,female & rent,0
272,1799149,36,4,48,12169000,single,Low,new vehicle,car or other,all loans at this bank paid back duly,male & for free,0
273,1152260,28,4,48,3060000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,1
274,1522384,34,1,30,11998000,divorced/separated,Low,repair costs,car or other,existing loans paid back duly till now,male & own,1
275,1826417,32,2,9,2697000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
276,1860196,26,2,18,2404000,divorced/separated/married,Low,electronic equipment,car or other,critical/pending loans at other banks,female & own,0
277,1832835,49,4,12,1262000,divorced/separated,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
278,1268091,32,4,6,4611000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
279,1755105,29,4,24,1901000,single,Medium,electronic equipment,car or other,existing loans paid back duly till now,male & rent,0
280,1769868,23,4,15,3368000,single,Very high,used vehicle,car or other,critical/pending loans at other banks,male & rent,0
281,1243419,50,2,12,1574000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & own,0
282,1131444,49,4,18,1445000,single,Low,electronic equipment,car or other,all loans at this bank paid back duly,male & own,0
283,1844436,63,4,15,1520000,single,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
284,1856693,37,2,24,3878000,divorced/separated,Medium,new vehicle,car or other,critical/pending loans at other banks,male & own,0
285,1405233,35,1,47,10722000,divorced/separated/married,Low,new vehicle,real estate,existing loans paid back duly till now,female & own,0
286,1442483,26,3,48,4788000,single,Low,used vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
287,1761078,31,4,48,7582000,single,Medium,used vehicle,car or other,delay in paying off loans in the past,male & for free,0
288,1838488,49,4,12,1092000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & own,0
289,1379318,48,4,24,1024000,married/widowed,Low,electronic equipment,real estate,delay in paying off loans in the past,male & own,1
290,1688183,26,2,12,1076000,married/widowed,Low,business,real estate,existing loans paid back duly till now,male & own,0
291,1340983,28,4,36,9398000,married/widowed,Low,used vehicle,car or other,existing loans paid back duly till now,male & rent,1
292,1163798,44,4,24,6419000,divorced/separated/married,Low,used vehicle,car or other,critical/pending loans at other banks,female & for free,0
293,1225433,56,4,42,4796000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & for free,0
294,1563134,46,2,48,7629000,divorced/separated,Low,business,car or other,critical/pending loans at other banks,male & own,0
295,1559877,26,2,48,9960000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & own,1
296,1437216,20,4,12,4675000,divorced/separated/married,Low,used vehicle,car or other,existing loans paid back duly till now,female & rent,0
297,1347244,45,2,10,1287000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
298,1124063,43,4,18,2515000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & own,0
299,1395426,32,2,21,2745000,single,Very high,FF&E,car or other,critical/pending loans at other banks,male & own,0
300,1313483,54,4,6,672000,divorced/separated/married,Low,new vehicle,real estate,existing loans paid back duly till now,female & own,0
301,1704941,42,1,36,3804000,divorced/separated/married,Low,electronic equipment,car or other,no loans taken/all loans paid back duly,female & own,1
302,1420165,37,2,24,1344000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,1
303,1600427,49,3,10,1038000,single,Low,new vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
304,1722344,44,2,48,10127000,single,High,new vehicle,car or other,critical/pending loans at other banks,male & for free,1
305,1535647,33,2,6,1543000,divorced/separated,Very high,FF&E,real estate,existing loans paid back duly till now,male & own,0
306,1774831,24,4,30,4811000,divorced/separated/married,Low,used vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
307,1385836,33,3,12,727000,married/widowed,Medium,electronic equipment,car or other,existing loans paid back duly till now,male & own,1
308,1211897,24,4,8,1237000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & own,1
309,1241781,22,4,9,276000,married/widowed,Low,new vehicle,real estate,existing loans paid back duly till now,male & rent,0
310,1538187,40,4,48,5381000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & for free,0
311,1770099,25,1,24,5511000,single,Medium,FF&E,car or other,existing loans paid back duly till now,male & own,0
312,1246068,26,4,24,3749000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & own,0
313,1738925,25,3,12,685000,married/widowed,Low,new vehicle,car or other,existing loans paid back duly till now,male & own,1
314,1546660,29,2,4,1494000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,0
315,1363538,31,4,36,2746000,single,Low,FF&E,car or other,all loans at this bank paid back duly,male & own,1
316,1173975,38,3,12,708000,single,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
317,1527645,48,4,24,4351000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
318,1269451,32,2,12,701000,single,Low,education,car or other,critical/pending loans at other banks,male & own,0
319,1635930,27,4,15,3643000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,delay in paying off loans in the past,female & own,0
320,1443537,28,2,30,4249000,married/widowed,Low,new vehicle,car or other,critical/pending loans at other banks,male & own,1
321,1366526,32,3,24,1938000,divorced/separated,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
322,1492566,34,1,24,2910000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & for free,0
323,1212992,28,2,18,2659000,single,Very high,FF&E,car or other,existing loans paid back duly till now,male & own,0
324,1449219,36,3,18,1028000,divorced/separated/married,Low,new vehicle,real estate,critical/pending loans at other banks,female & own,0
325,1113782,39,4,8,3398000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,0
326,1127014,49,4,12,5801000,single,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,male & rent,0
327,1730202,34,3,24,1525000,divorced/separated/married,Very high,new vehicle,car or other,existing loans paid back duly till now,female & own,0
328,1831874,31,2,36,4473000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
329,1839770,28,4,6,1068000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
330,1397184,75,4,24,6615000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & for free,0
331,1893558,30,2,18,1864000,divorced/separated/married,Medium,education,real estate,critical/pending loans at other banks,female & own,1
332,1392044,24,2,60,7408000,divorced/separated/married,Medium,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
333,1658501,24,4,48,11590000,divorced/separated/married,Medium,used vehicle,car or other,critical/pending loans at other banks,female & rent,1
334,1749671,23,4,24,4110000,single,Low,FF&E,car or other,no loans taken/all loans paid back duly,male & rent,1
335,1497135,44,4,6,3384000,divorced/separated,Low,FF&E,real estate,critical/pending loans at other banks,male & rent,1
336,1742101,23,4,13,2101000,divorced/separated/married,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
337,1674059,24,2,15,1275000,divorced/separated/married,Low,domestic appliances,car or other,existing loans paid back duly till now,female & rent,1
338,1507864,28,4,24,4169000,single,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
339,1191977,31,2,10,1521000,divorced/separated,Low,FF&E,car or other,existing loans paid back duly till now,male & own,0
340,1572898,24,4,24,5743000,divorced/separated/married,Low,education,car or other,critical/pending loans at other banks,female & for free,0
341,1193436,26,4,21,3599000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & rent,0
342,1182073,25,3,18,3213000,married/widowed,High,electronic equipment,real estate,existing loans paid back duly till now,male & rent,0
343,1424965,33,1,18,4439000,single,Low,business,real estate,existing loans paid back duly till now,male & own,0
344,1608183,37,1,10,3949000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
345,1473941,43,2,15,1459000,divorced/separated/married,Low,electronic equipment,car or other,critical/pending loans at other banks,female & own,0
346,1540515,23,4,13,882000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
347,1318823,23,4,24,3758000,divorced/separated/married,High,electronic equipment,car or other,existing loans paid back duly till now,female & rent,0
348,1545574,34,2,6,1743000,single,Medium,business,real estate,delay in paying off loans in the past,male & own,0
349,1408229,32,3,9,1136000,single,Very high,education,car or other,critical/pending loans at other banks,male & for free,1
350,1605868,23,4,9,1236000,divorced/separated/married,Low,domestic appliances,real estate,existing loans paid back duly till now,female & rent,0
351,1176865,29,2,9,959000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & own,1
352,1806619,38,4,18,3229000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,0
353,1273483,28,2,12,6199000,single,Low,electronic equipment,building society savings agreement/life insurance,no loans taken/all loans paid back duly,male & rent,1
354,1754537,46,4,10,727000,single,High,education,car or other,existing loans paid back duly till now,male & for free,0
355,1419059,23,2,24,1246000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,1
356,1141822,49,4,12,2331000,single,Low,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
357,1825588,26,2,36,4463000,single,Low,electronic equipment,car or other,delay in paying off loans in the past,male & own,1
358,1426103,28,2,12,776000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
359,1227016,23,4,30,2406000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & rent,1
360,1750981,61,4,18,1239000,single,Low,education,car or other,existing loans paid back duly till now,male & for free,0
361,1805732,37,3,12,3399000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
362,1144294,36,2,12,2247000,divorced/separated/married,Low,new vehicle,car or other,delay in paying off loans in the past,female & own,0
363,1476733,21,2,6,1766000,married/widowed,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & rent,0
364,1331656,25,1,18,2473000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,1
365,1377901,36,4,12,1542000,single,Low,business,car or other,existing loans paid back duly till now,male & own,0
366,1213250,27,1,18,3850000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,0
367,1787350,22,4,18,3650000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & rent,0
368,1488941,42,2,36,3446000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,1
369,1435055,40,4,18,3001000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & rent,0
370,1471101,36,4,36,3079000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,0
371,1312020,33,4,18,6070000,single,Low,electronic equipment,car or other,critical/pending loans at other banks,male & own,0
372,1511094,23,3,10,2146000,divorced/separated/married,Low,FF&E,real estate,critical/pending loans at other banks,female & rent,0
373,1703409,63,4,60,13756000,single,Low,new vehicle,car or other,critical/pending loans at other banks,male & for free,0
374,1663400,60,4,60,14782000,divorced/separated/married,Medium,used vehicle,car or other,all loans at this bank paid back duly,female & for free,1
375,1632577,37,4,48,7685000,divorced/separated/married,Low,business,car or other,all loans at this bank paid back duly,female & rent,1
376,1711334,34,3,18,2320000,married/widowed,Low,electronic equipment,real estate,delay in paying off loans in the past,male & own,0
377,1820644,36,4,7,846000,single,Low,electronic equipment,car or other,delay in paying off loans in the past,male & for free,0
378,1633625,57,2,36,14318000,single,Low,new vehicle,car or other,existing loans paid back duly till now,male & for free,1
379,1493373,52,4,6,362000,divorced/separated/married,Medium,new vehicle,car or other,critical/pending loans at other banks,female & own,0
380,1140091,39,4,20,2212000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,0
381,1530567,38,4,18,12976000,divorced/separated/married,Low,used vehicle,car or other,existing loans paid back duly till now,female & for free,1
382,1560648,25,4,22,1283000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
383,1835901,26,1,12,1330000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,0
384,1446865,26,2,30,4272000,single,Medium,business,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,0
385,1159806,25,1,18,2238000,divorced/separated/married,Low,electronic equipment,car or other,critical/pending loans at other banks,female & own,0
386,1198484,21,2,18,1126000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & rent,0
387,1900089,40,4,18,7374000,single,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
388,1466824,27,4,15,2326000,single,High,business,car or other,critical/pending loans at other banks,male & own,0
389,1428226,27,2,9,1449000,divorced/separated/married,Low,business,car or other,existing loans paid back duly till now,female & own,0
390,1590101,30,2,18,1820000,married/widowed,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
391,1655095,19,4,12,983000,divorced/separated/married,Very high,FF&E,real estate,existing loans paid back duly till now,female & rent,0
392,1221103,39,4,36,3249000,single,Low,new vehicle,car or other,existing loans paid back duly till now,male & for free,0
393,1660809,31,4,6,1957000,divorced/separated/married,Low,electronic equipment,car or other,critical/pending loans at other banks,female & own,0
394,1221118,31,3,9,2406000,single,Low,FF&E,car or other,critical/pending loans at other banks,male & own,0
395,1462188,32,3,39,11760000,single,Medium,education,car or other,delay in paying off loans in the past,male & rent,0
396,1461535,55,4,12,2578000,divorced/separated/married,Low,FF&E,car or other,existing loans paid back duly till now,female & for free,0
397,1587786,46,2,36,2348000,married/widowed,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
398,1565522,46,1,12,1223000,divorced/separated,Low,new vehicle,real estate,existing loans paid back duly till now,male & rent,1
399,1813841,43,1,24,1516000,divorced/separated/married,Very high,electronic equipment,real estate,critical/pending loans at other banks,female & own,0
400,1393314,39,4,18,1473000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
401,1121764,28,4,18,1887000,married/widowed,Low,business,real estate,critical/pending loans at other banks,male & own,0
402,1147492,27,2,24,8648000,single,Low,business,car or other,delay in paying off loans in the past,male & own,1
403,1174819,27,2,14,802000,single,Low,new vehicle,car or other,delay in paying off loans in the past,male & own,0
404,1623240,43,4,18,2899000,single,Low,new vehicle,car or other,delay in paying off loans in the past,male & own,0
405,1766191,22,1,24,2039000,married/widowed,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
406,1437656,43,4,24,2197000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,0
407,1225095,27,2,15,1053000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
408,1755656,26,2,24,3235000,divorced/separated,High,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
409,1143716,28,2,12,939000,married/widowed,High,new vehicle,real estate,critical/pending loans at other banks,male & own,1
410,1465874,20,4,24,1967000,divorced/separated/married,Low,electronic equipment,car or other,existing loans paid back duly till now,female & own,0
411,1661563,35,2,33,7253000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,0
412,1238022,42,2,12,2292000,single,Low,business,car or other,critical/pending loans at other banks,male & own,1
413,1276723,40,2,10,1597000,single,High,new vehicle,car or other,existing loans paid back duly till now,male & rent,0
414,1564344,35,2,24,1381000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
415,1774377,35,2,36,5842000,single,Low,used vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
416,1558926,33,1,12,2579000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,1
417,1555430,23,2,18,8471000,divorced/separated/married,Low,education,car or other,delay in paying off loans in the past,female & rent,0
418,1529020,31,2,21,2782000,divorced/separated/married,High,new vehicle,car or other,existing loans paid back duly till now,female & own,0
419,1291905,33,2,18,1042000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
420,1213257,20,3,15,3186000,divorced/separated/married,Very high,new vehicle,car or other,existing loans paid back duly till now,female & rent,0
421,1388888,30,2,12,2028000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & own,0
422,1186232,47,3,12,958000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,0
423,1358802,34,3,21,1591000,single,Medium,FF&E,real estate,delay in paying off loans in the past,male & own,0
424,1703163,25,2,12,2762000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
425,1581463,21,3,18,2779000,married/widowed,Low,used vehicle,car or other,existing loans paid back duly till now,male & rent,0
426,1412269,29,2,28,2743000,single,Low,electronic equipment,car or other,critical/pending loans at other banks,male & own,0
427,1787696,46,3,18,1149000,single,Very high,electronic equipment,real estate,critical/pending loans at other banks,male & own,0
428,1657309,20,4,9,1313000,single,Low,FF&E,car or other,existing loans paid back duly till now,male & own,0
429,1817813,55,4,18,1190000,divorced/separated/married,Low,repair costs,car or other,critical/pending loans at other banks,female & for free,1
430,1534316,74,4,5,3448000,single,Low,business,real estate,existing loans paid back duly till now,male & own,0
431,1304185,29,3,24,11328000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & own,1
432,1714829,36,4,6,1872000,single,Low,FF&E,car or other,critical/pending loans at other banks,male & for free,0
433,1796503,33,2,24,2058000,divorced/separated,Low,repair costs,real estate,critical/pending loans at other banks,male & own,0
434,1336695,25,2,9,2136000,single,Low,FF&E,real estate,existing loans paid back duly till now,male & own,0
435,1879817,25,1,12,1484000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,1
436,1779410,23,4,6,660000,married/widowed,High,repair costs,real estate,existing loans paid back duly till now,male & rent,0
437,1727640,37,4,24,1287000,divorced/separated/married,Very high,new vehicle,real estate,critical/pending loans at other banks,female & own,0
438,1119602,65,4,42,3394000,single,Low,repair costs,car or other,critical/pending loans at other banks,male & own,0
439,1548375,26,1,12,609000,divorced/separated/married,Low,business,real estate,all loans at this bank paid back duly,female & own,1
440,1515084,39,4,12,1884000,single,Low,new vehicle,car or other,existing loans paid back duly till now,male & own,0
441,1523394,30,3,12,1620000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,0
442,1327436,29,3,20,2629000,single,Low,repair costs,car or other,delay in paying off loans in the past,male & own,0
443,1769463,41,4,12,719000,single,Low,education,car or other,existing loans paid back duly till now,male & own,1
444,1454649,30,3,48,5096000,divorced/separated/married,Low,FF&E,car or other,critical/pending loans at other banks,female & own,1
445,1282543,41,4,9,1244000,divorced/separated/married,Low,education,building society savings agreement/life insurance,critical/pending loans at other banks,female & rent,0
446,1604148,34,4,36,1842000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & own,1
447,1461545,35,2,7,2576000,single,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
448,1579121,55,4,12,1424000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & own,0
449,1662555,61,3,15,1512000,married/widowed,Very high,repair costs,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,1
450,1451745,30,2,36,11054000,single,Low,used vehicle,car or other,critical/pending loans at other banks,male & own,0
451,1590235,29,1,6,518000,divorced/separated/married,Low,electronic equipment,real estate,existing loans paid back duly till now,female & own,0
452,1610382,34,4,12,2759000,single,Low,FF&E,building society savings agreement/life insurance,no loans taken/all loans paid back duly,male & own,0
453,1611614,35,4,24,2670000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & own,0
454,1790490,31,3,24,4817000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
455,1396015,29,1,24,2679000,divorced/separated/married,Low,used vehicle,car or other,existing loans paid back duly till now,female & own,0
456,1140019,36,2,11,3905000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & rent,0
457,1751876,35,4,12,3386000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & for free,1
458,1344543,27,1,6,343000,divorced/separated/married,Low,domestic appliances,real estate,existing loans paid back duly till now,female & own,0
459,1486366,32,2,18,4594000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
460,1862524,37,2,36,3620000,single,Low,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
461,1794199,36,3,15,1721000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,0
462,1114695,34,1,12,3017000,divorced/separated/married,Low,FF&E,real estate,existing loans paid back duly till now,female & rent,0
463,1252248,38,4,12,754000,single,Low,career development,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
464,1333603,34,1,18,1950000,single,Low,business,car or other,existing loans paid back duly till now,male & own,0
465,1253927,63,4,24,2924000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & own,0
466,1255808,29,2,24,1659000,divorced/separated/married,Low,electronic equipment,car or other,delay in paying off loans in the past,female & rent,1
467,1777177,32,3,48,7238000,single,Low,electronic equipment,car or other,delay in paying off loans in the past,male & own,0
468,1347859,26,2,33,2764000,divorced/separated/married,Low,business,car or other,delay in paying off loans in the past,female & own,0
469,1179829,35,3,24,4679000,single,Low,used vehicle,car or other,delay in paying off loans in the past,male & own,0
470,1584896,22,2,24,3092000,married/widowed,Medium,electronic equipment,car or other,existing loans paid back duly till now,male & rent,1
471,1165835,23,4,6,448000,divorced/separated/married,Low,education,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
472,1420000,28,3,9,654000,single,Low,new vehicle,car or other,existing loans paid back duly till now,male & own,1
473,1792340,36,4,6,1238000,single,Low,career development,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
474,1154530,33,2,18,1245000,married/widowed,Low,electronic equipment,car or other,critical/pending loans at other banks,male & own,1
475,1464283,26,4,18,3114000,divorced/separated/married,Low,FF&E,building society savings agreement/life insurance,no loans taken/all loans paid back duly,female & rent,1
476,1643578,24,4,39,2569000,single,High,used vehicle,car or other,existing loans paid back duly till now,male & own,0
477,1724729,25,2,24,5152000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
478,1305749,39,4,12,1037000,single,Medium,business,real estate,existing loans paid back duly till now,male & own,0
479,1640580,44,4,15,1478000,single,Low,FF&E,car or other,critical/pending loans at other banks,male & own,0
480,1572070,23,1,12,3573000,divorced/separated/married,Low,electronic equipment,real estate,critical/pending loans at other banks,female & own,0
481,1719894,26,1,24,1201000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
482,1179715,57,4,30,3622000,divorced/separated/married,Very high,FF&E,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,0
483,1648432,30,2,15,960000,divorced/separated/married,Very high,FF&E,building society savings agreement/life insurance,delay in paying off loans in the past,female & own,0
484,1809085,44,4,12,1163000,single,High,new vehicle,real estate,critical/pending loans at other banks,male & own,0
485,1595096,47,4,6,1209000,single,Low,new vehicle,building society savings agreement/life insurance,delay in paying off loans in the past,male & own,1
486,1280201,52,4,12,3077000,single,Low,electronic equipment,car or other,existing loans paid back duly till now,male & own,0
487,1512766,62,4,24,3757000,divorced/separated/married,Low,new vehicle,car or other,existing loans paid back duly till now,female & for free,0
488,1355440,35,2,10,1418000,single,Medium,new vehicle,real estate,existing loans paid back duly till now,male & rent,0
489,1237459,26,3,6,3518000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & rent,0
490,1874619,26,2,12,1934000,single,Low,electronic equipment,car or other,critical/pending loans at other banks,male & own,0
491,1867397,42,4,27,8318000,divorced/separated/married,Low,business,car or other,no loans taken/all loans paid back duly,female & for free,1
492,1797961,27,1,6,1237000,divorced/separated/married,Medium,electronic equipment,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
493,1773539,38,4,6,368000,single,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
494,1518424,39,2,12,2122000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & rent,0
495,1833845,20,4,24,2996000,married/widowed,Low,FF&E,car or other,existing loans paid back duly till now,male & own,1
496,1728313,29,1,36,9034000,single,Medium,FF&E,car or other,existing loans paid back duly till now,male & rent,1
497,1611295,40,3,24,1585000,single,Low,FF&E,building society savings agreement/life insurance,critical/pending loans at other banks,male & own,0
498,1680973,32,2,18,1301000,married/widowed,Low,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
499,1325678,28,4,6,1323000,divorced/separated,Medium,new vehicle,car or other,critical/pending loans at other banks,male & own,0
500,1566812,27,1,24,3123000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & own,1
501,1402031,42,4,36,5493000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & for free,0
502,1787792,49,4,9,1126000,divorced/separated,Medium,electronic equipment,real estate,existing loans paid back duly till now,male & own,0
503,1893730,38,4,24,1216000,single,Medium,electronic equipment,car or other,critical/pending loans at other banks,male & own,1
504,1391963,24,4,24,1207000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,female & rent,1
505,1359833,27,4,10,1309000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,1
506,1860964,36,2,15,2360000,single,High,used vehicle,car or other,critical/pending loans at other banks,male & own,0
507,1397210,34,2,15,6850000,single,Medium,new vehicle,building society savings agreement/life insurance,all loans at this bank paid back duly,male & own,1
508,1300113,28,2,24,1413000,married/widowed,Low,electronic equipment,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
509,1121978,45,2,39,8588000,single,Medium,used vehicle,car or other,existing loans paid back duly till now,male & own,0
510,1625109,26,2,12,759000,single,Low,new vehicle,real estate,existing loans paid back duly till now,male & own,1
511,1591192,32,2,36,4686000,single,Low,used vehicle,car or other,existing loans paid back duly till now,male & for free,0
512,1439117,26,4,15,2687000,single,Low,business,building society savings agreement/life insurance,existing loans paid back duly till now,male & rent,0
513,1597948,20,4,12,585000,married/widowed,Low,electronic equipment,real estate,delay in paying off loans in the past,male & rent,0
514,1436931,54,1,24,2255000,single,Low,new vehicle,building society savings agreement/life insurance,existing loans paid back duly till now,male & own,0
515,1359864,37,3,6,609000,divorced/separated/married,Low,new vehicle,building society savings agreement/life insurance,critical/pending loans at other banks,female & own,0
516,1279507,40,4,6,1361000,single,Low,new vehicle,real estate,critical/pending loans at other banks,male & own,0
